strain	date	data_source	sample_source	region	location	lineage	age
Yale-MP00494	2024-12-18	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00502	2024-12-19	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00423	2024-12-20	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00431	2024-12-30	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00439	2024-12-30	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00447	2024-12-31	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00455	2024-12-31	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	50–64
Yale-MP00463	2025-01-01	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	<1
Yale-MP00479	2025-01-02	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00487	2025-01-03	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00495	2025-01-04	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00471	2025-01-05	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00503	2025-01-06	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00424	2025-01-08	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00448	2025-01-08	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00440	2025-01-08	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00432	2025-01-09	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00456	2025-01-09	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00464	2025-01-11	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00472	2025-01-11	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00480	2025-01-16	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00488	2025-01-16	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00496	2025-01-20	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00702	2025-01-21	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00504	2025-01-21	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00710	2025-01-26	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00718	2025-01-27	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00726	2025-01-28	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00734	2025-01-28	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	50–64
Yale-MP00742	2025-01-29	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	<1
Yale-MP00750	2025-01-30	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00758	2025-01-31	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	5–17
Yale-MP00766	2025-02-03	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00782	2025-02-08	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00774	2025-02-09	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00790	2025-02-10	Yale	Grubaugh	North-America	Connecticut(USA)	NA	1–4
Yale-MP00703	2025-02-12	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00711	2025-02-14	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00719	2025-02-16	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00727	2025-02-18	Yale	Grubaugh	North-America	Connecticut(USA)	NA	5–17
Yale-MP00735	2025-02-21	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00743	2025-02-21	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00751	2025-02-22	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	50–64
Yale-MP00759	2025-02-23	Yale	Grubaugh	North-America	Connecticut(USA)	B2	<1
Yale-MP00775	2025-02-27	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00767	2025-02-27	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00783	2025-02-28	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00791	2025-03-01	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00704	2025-03-03	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00712	2025-03-04	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00720	2025-03-04	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00728	2025-03-06	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00736	2025-03-06	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00744	2025-03-06	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00752	2025-03-06	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00760	2025-03-07	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.1	65+
Yale-MP00768	2025-03-08	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00776	2025-03-10	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00784	2025-03-12	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00705	2025-03-15	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00792	2025-03-15	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00713	2025-03-16	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00721	2025-03-17	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00729	2025-03-17	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00737	2025-03-17	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00745	2025-03-18	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00753	2025-03-18	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00761	2025-03-18	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	5–17
Yale-MP00769	2025-03-20	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00777	2025-03-21	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00785	2025-03-21	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00793	2025-03-24	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00706	2025-03-25	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00714	2025-03-25	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00722	2025-03-25	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00730	2025-03-26	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00738	2025-03-26	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00746	2025-03-26	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00754	2025-03-26	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00762	2025-03-27	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	<1
Yale-MP00778	2025-03-28	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00786	2025-03-28	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00731	2025-03-28	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00770	2025-03-29	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00794	2025-03-29	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00707	2025-03-29	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00763	2025-03-30	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00755	2025-03-30	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00747	2025-03-30	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00739	2025-03-30	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00723	2025-03-30	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00715	2025-03-30	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00771	2025-03-31	Yale	Grubaugh	North-America	Connecticut(USA)	B1	50–64
Yale-MP00787	2025-04-02	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00779	2025-04-02	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	50–64
Yale-MP00716	2025-04-02	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00724	2025-04-03	Yale	Grubaugh	North-America	Connecticut(USA)	B2	5–17
Yale-MP00708	2025-04-03	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00732	2025-04-04	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00740	2025-04-05	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	5–17
Yale-MP00772	2025-04-06	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00764	2025-04-06	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00756	2025-04-06	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00748	2025-04-06	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00709	2025-04-06	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00725	2025-04-07	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00717	2025-04-07	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00788	2025-04-08	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00780	2025-04-08	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00749	2025-04-08	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00741	2025-04-08	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00733	2025-04-08	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00789	2025-04-09	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00781	2025-04-09	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00765	2025-04-09	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00757	2025-04-09	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00838	2025-04-09	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00798	2025-04-10	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00773	2025-04-10	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00806	2025-04-10	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00814	2025-04-10	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00822	2025-04-10	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00830	2025-04-10	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00846	2025-04-11	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00854	2025-04-11	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00862	2025-04-11	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00870	2025-04-11	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00799	2025-04-13	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00807	2025-04-13	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00878	2025-04-13	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00886	2025-04-13	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00815	2025-04-14	Yale	Grubaugh	North-America	Connecticut(USA)	B1	50–64
Yale-MP00855	2025-04-14	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00823	2025-04-15	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00839	2025-04-15	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00831	2025-04-16	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00847	2025-04-16	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00887	2025-04-16	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00800	2025-04-17	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00808	2025-04-17	Yale	Grubaugh	North-America	Connecticut(USA)	NA	<1
Yale-MP00816	2025-04-17	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00824	2025-04-17	Yale	Grubaugh	North-America	Connecticut(USA)	NA	5–17
Yale-MP00832	2025-04-17	Yale	Grubaugh	North-America	Connecticut(USA)	NA	1–4
Yale-MP00840	2025-04-17	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00848	2025-04-17	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00863	2025-04-19	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00871	2025-04-19	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00879	2025-04-19	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00856	2025-04-20	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.1	65+
Yale-MP00801	2025-04-21	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00864	2025-04-21	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00872	2025-04-21	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00880	2025-04-21	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00809	2025-04-22	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00825	2025-04-22	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00888	2025-04-22	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00817	2025-04-23	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00833	2025-04-23	Yale	Grubaugh	North-America	Connecticut(USA)	B2	<1
Yale-MP00841	2025-04-23	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00849	2025-04-23	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00857	2025-04-24	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00889	2025-04-24	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00865	2025-04-25	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00873	2025-04-25	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00802	2025-04-27	Yale	Grubaugh	North-America	Connecticut(USA)	NA	<1
Yale-MP00810	2025-04-27	Yale	Grubaugh	North-America	Connecticut(USA)	NA	1–4
Yale-MP00818	2025-04-27	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00842	2025-04-27	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00858	2025-04-27	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00881	2025-04-27	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00811	2025-04-28	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00819	2025-04-28	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00826	2025-04-28	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00827	2025-04-28	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00850	2025-04-28	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00866	2025-04-28	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00874	2025-04-28	Yale	Grubaugh	North-America	Connecticut(USA)	B2	5–17
Yale-MP00882	2025-04-28	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00890	2025-04-28	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00803	2025-04-29	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00834	2025-04-29	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00835	2025-04-29	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00843	2025-04-29	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	5–17
Yale-MP00851	2025-04-29	Yale	Grubaugh	North-America	Connecticut(USA)	B2	<1
Yale-MP00859	2025-04-30	Yale	Grubaugh	North-America	Connecticut(USA)	B1	50–64
Yale-MP00867	2025-04-30	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00875	2025-04-30	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00883	2025-05-01	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00804	2025-05-02	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00812	2025-05-02	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00820	2025-05-02	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00828	2025-05-03	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00836	2025-05-03	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00844	2025-05-04	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00852	2025-05-05	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00860	2025-05-05	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00876	2025-05-05	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00868	2025-05-05	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	50–64
Yale-MP00813	2025-05-06	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00821	2025-05-06	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00884	2025-05-06	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00805	2025-05-08	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00829	2025-05-08	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00837	2025-05-08	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00845	2025-05-09	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00853	2025-05-09	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00861	2025-05-09	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00869	2025-05-10	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	<1
Yale-MP00877	2025-05-10	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00885	2025-05-11	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
LC789936.1	2020-03-25	GenBank	Nguema	Central-Africa	Gabon	A2.2.2	NA
KF530184.1	2004-XX-XX	GenBank	Lorenzi	Western-Europe	Germany	NA	NA
LC817384.1	2022-XX-XX	GenBank	Shirato	East-Asia	Japan	B1	NA
LC817386.1	2022-XX-XX	GenBank	Shirato	East-Asia	Japan	B2	NA
LC823194.1	2023-XX-XX	GenBank	Shirato	East-Asia	Japan	A2.2.2	NA
LC823195.1	2023-XX-XX	GenBank	Shirato	East-Asia	Japan	A2.2.2	NA
LC817385.1	2023-XX-XX	GenBank	Shirato	East-Asia	Japan	B2	NA
LC671554.1	2017-02-27	GenBank	Sugimoto	East-Asia	Japan	B1	NA
LC671555.1	2018-02-27	GenBank	Sugimoto	East-Asia	Japan	A2.2.2	NA
LC671556.1	2018-03-17	GenBank	Sugimoto	East-Asia	Japan	A2.2.2	NA
LC671557.1	2018-03-18	GenBank	Sugimoto	East-Asia	Japan	B2	NA
LC671558.1	2018-04-23	GenBank	Sugimoto	East-Asia	Japan	A2.2.2	NA
MK989732.1	2009-12-10	GenBank	Phan	East-Africa	Kenya	A2.2.1	NA
MK989731.1	2009-12-21	GenBank	Phan	East-Africa	Kenya	A2.2.1	NA
MK588636.1	2012-08-25	GenBank	Kamau	East-Africa	Kenya	B1	NA
MK588637.1	2012-10-30	GenBank	Kamau	East-Africa	Kenya	B2	NA
MK588633.1	2013-10-22	GenBank	Kamau	East-Africa	Kenya	A2.2.2	NA
MK989730.1	2015-01-29	GenBank	Phan	East-Africa	Kenya	B1	NA
MK588634.1	2015-12-23	GenBank	Kamau	East-Africa	Kenya	A2.2.2	NA
PP944377.1	2023-03-XX	GenBank	Schmidt	North-America	Maryland(USA)	A2.2.2	NA
PP944378.1	2023-03-XX	GenBank	Schmidt	North-America	Maryland(USA)	A2.2.2	NA
PP944379.1	2023-04-XX	GenBank	Schmidt	North-America	Maryland(USA)	A2.2.2	NA
PP944380.1	2023-04-XX	GenBank	Schmidt	North-America	Maryland(USA)	A2.2.2	NA
PP944381.1	2023-04-XX	GenBank	Schmidt	North-America	Maryland(USA)	A2.2.2	NA
PP944382.1	2023-04-XX	GenBank	Schmidt	North-America	Maryland(USA)	A2.2.2	NA
PP944383.1	2023-04-XX	GenBank	Schmidt	North-America	Maryland(USA)	A2.2.2	NA
PV178512.1	2023-12-11	GenBank	Paull	North-America	Massachusettes(USA)	A2.2.2	NA
PV178633.1	2024-02-12	GenBank	Paull	North-America	Massachusettes(USA)	A2.2.2	NA
PV178527.1	2024-06-07	GenBank	Paull	North-America	Massachusettes(USA)	A2.2.1	NA
PV178427.1	2024-07-30	GenBank	Paull	North-America	Massachusettes(USA)	B2	NA
PV178515.1	2024-08-12	GenBank	Paull	North-America	Massachusettes(USA)	B2	NA
PV178565.1	2024-10-29	GenBank	Paull	North-America	Massachusettes(USA)	A2.2.2	NA
PV178241.1	2024-11-18	GenBank	Paull	North-America	Massachusettes(USA)	A2.2.2	NA
PV178224.1	2024-12-11	GenBank	Paull	North-America	Massachusettes(USA)	A2.2.2	NA
PV206817.1	2024-12-18	GenBank	Paull	North-America	Massachusettes(USA)	A2.2.2	NA
PV260519.1	2025-01-20	GenBank	Paull	North-America	Massachusettes(USA)	A2.2.2	NA
PV260518.1	2025-01-23	GenBank	Paull	North-America	Massachusettes(USA)	A2.2.2	NA
PV484790.1	2025-02-03	GenBank	Paull	North-America	Massachusettes(USA)	A2.2.2	NA
PV484788.1	2025-02-11	GenBank	Paull	North-America	Massachusettes(USA)	A2.2.1	NA
KF530189.1	2003-11-14	GenBank	Lorenzi	North-America	Mexico	NA	NA
KF530187.1	2004-02-23	GenBank	Lorenzi	North-America	Mexico	NA	NA
KF530190.1	2007-01-15	GenBank	Lorenzi	North-America	Mexico	NA	NA
OL794444.1	1993-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.1	NA
OL794456.1	1993-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.1	NA
FJ168778.1	1994-01-07	GenBank	de Graaf	Western-Europe	Netherlands	B2	NA
OL794406.1	1999-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B1	NA
FJ168779.1	2000-04-02	GenBank	de Graaf	Western-Europe	Netherlands	A2.1	NA
OL794390.1	2001-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794355.1	2002-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A1	NA
OL794356.1	2003-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B1	NA
OL794391.1	2003-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.2.1	NA
OL794408.1	2003-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B1	NA
OL794420.1	2003-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.2.1	NA
OL794357.1	2005-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B1	NA
OL794392.1	2005-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794421.1	2005-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.2.1	NA
OL794433.1	2005-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B1	NA
OL794445.1	2005-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794358.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B1	NA
OL794369.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.2.1	NA
OL794376.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794379.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794381.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794384.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.1	NA
OL794385.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794388.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.1	NA
OL794389.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A1	NA
OL794393.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794409.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.2.1	NA
OL794422.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.2.1	NA
OL794434.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794446.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794457.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794477.1	2006-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.2.1	NA
OL794359.1	2007-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.2.1	NA
OL794394.1	2007-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.1	NA
OL794410.1	2007-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794423.1	2007-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.1	NA
OL794447.1	2007-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.1	NA
OL794458.1	2007-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794467.1	2007-XX-XX	GenBank	Groen	Western-Europe	Netherlands	B2	NA
OL794478.1	2007-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.2.1	NA
OL794360.1	2008-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.2.2	NA
OL794395.1	2008-XX-XX	GenBank	Groen	Western-Europe	Netherlands	A2.2.1	NA
